"","SubjectID","VideoID","Attention","Mediation","Raw","Delta","Theta","Alpha1","Alpha2","Beta1","Beta2","Gamma1","Gamma2","predefinedlabel","user.definedlabeln"
"427",0,3,20,56,9,4e+05,14800,12400,9630,2730,5840,21100,3940,0,0
"428",0,3,29,64,35,493000,29800,23600,3180,3650,11600,16900,7010,0,0
"429",0,3,29,70,-129,639000,101000,31700,17900,4100,17700,13300,5430,0,0
"430",0,3,41,77,-135,223000,16500,1290,6250,1650,5080,13700,2000,0,0
"431",0,3,40,78,54,505000,24100,27100,7910,1130,8550,7010,3310,0,0
"432",0,3,48,70,-21,1630000,76500,22800,20300,26300,58400,30800,19900,0,0
"433",0,3,54,81,147,701000,64400,83100,57500,12800,42200,32800,21800,0,0
"434",0,3,47,81,-106,250000,40500,7140,8130,3610,4620,5410,2490,0,0
"435",0,3,54,63,376,1350000,79500,7610,13200,15000,40600,27700,7150,0,0
"436",0,3,38,53,7,1860000,1700000,85700,103000,174000,159000,121000,80700,0,0
"437",0,3,24,41,-106,528000,551000,173000,21700,27000,37300,47100,14000,0,0
"438",0,3,26,30,41,396000,65500,556,7660,3100,8950,12200,5590,0,0
"439",0,3,14,47,213,1370000,38600,29400,7310,4040,7820,9860,9060,0,0
"440",0,3,20,63,104,1250000,205000,55800,123000,13100,55200,60900,33900,0,0
"441",0,3,34,64,-120,619000,45800,7330,19100,15600,14100,14200,4710,0,0
"442",0,3,23,69,141,2310000,1440000,207000,180000,139000,70300,227000,113000,0,0
"443",0,3,10,70,-114,379000,46100,28900,15000,3760,2270,10900,2060,0,0
"444",0,3,4,64,29,1490000,8e+05,63100,236000,144000,110000,125000,48100,0,0
"445",0,3,1,64,-245,1550000,631000,86400,142000,29000,44300,60300,42600,0,0
"446",0,3,7,67,32,734000,78800,28700,13100,15200,23600,65800,10400,0,0
"447",0,3,21,53,123,854000,712000,36400,79600,33000,102000,68900,46700,0,0
"448",0,3,30,57,201,515000,54300,28800,21300,18200,28200,16700,4810,0,0
"449",0,3,48,60,107,4e+05,58900,25400,11800,9640,23300,37500,10900,0,0
"450",0,3,44,54,-97,203000,91300,18300,5870,11900,18200,16300,16000,0,0
"451",0,3,43,43,161,333000,514000,7280,15100,8720,55600,20700,4920,0,0
"452",0,3,26,34,-231,545000,817000,92000,42300,45800,48500,63000,22800,0,0
"453",0,3,16,23,80,585000,99100,14900,5410,18500,11600,36400,3710,0,0
"454",0,3,16,40,75,452000,171000,218000,109000,31400,79400,68900,23400,0,0
"455",0,3,30,57,57,1050000,29500,11700,8550,6790,22000,15600,12300,0,0
"456",0,3,41,63,101,1360000,925000,205000,126000,37600,177000,118000,18000,0,0
"457",0,3,57,41,-162,67500,15200,703,1060,873,7740,6270,1600,0,0
"458",0,3,47,47,-76,495000,53700,19200,14100,3090,9800,18700,12700,0,0
"459",0,3,50,47,-65,176000,90900,19600,24200,11200,27400,24800,18800,0,0
"460",0,3,54,48,102,826000,38000,9580,5850,8150,18100,17800,4120,0,0
"461",0,3,40,63,59,804000,361000,118000,40000,34600,56100,94800,14900,0,0
"462",0,3,50,54,66,448000,35900,7620,3110,2460,14100,20200,4410,0,0
"463",0,3,70,41,3,192000,18200,1780,2630,2140,41800,3560,2720,0,0
"464",0,3,67,43,17,221000,36000,4610,9420,2490,12800,17800,4090,0,0
"465",0,3,75,47,-23,148000,101000,61100,27300,19100,35100,127000,25200,0,0
"466",0,3,64,53,104,2040000,603000,252000,90000,7600,104000,182000,59700,0,0
"467",0,3,40,61,12,135000,160000,22500,9780,8320,27600,10500,5260,0,0
"468",0,3,44,61,72,1140000,232000,65500,38700,15000,128000,66800,27800,0,0
"469",0,3,43,54,65,117000,45200,8830,5100,2860,11100,22900,9570,0,0
"470",0,3,57,47,-148,936000,101000,24700,9870,22200,72200,32700,32800,0,0
"471",0,3,66,48,0,897000,84700,14900,13800,6250,33000,15600,8770,0,0
"472",0,3,57,44,74,932000,170000,6810,35000,38100,32800,57000,45100,0,0
"473",0,3,61,40,57,1070000,280000,14000,36200,32900,78300,45100,16100,0,0
"474",0,3,69,41,40,387000,29600,1140,19500,9390,60600,32500,10300,0,0
"475",0,3,69,30,32,1010000,59800,1040,8510,22300,24800,74000,8280,0,0
"476",0,3,88,35,119,5500,12500,8670,4980,14800,27700,36100,17300,0,0
"477",0,3,87,35,86,465000,87800,9620,9280,27400,23700,42400,38100,0,0
"478",0,3,91,34,-39,10700,5990,2160,16000,13200,80700,36400,18900,0,0
"479",0,3,100,41,81,7350,11600,3750,13100,11000,56300,43400,15400,0,0
"480",0,3,91,41,28,266000,54300,14500,9510,9310,33600,75500,15600,0,0
"481",0,3,97,41,88,721000,32400,1900,7580,11400,27900,28600,6030,0,0
"482",0,3,97,44,112,4510,11300,29000,13500,6010,152000,76700,11400,0,0
"483",0,3,70,44,17,406000,219000,22800,35000,13400,27900,26300,20900,0,0
"484",0,3,70,37,32,1340000,163000,1340,27900,17400,90100,34500,9280,0,0
"485",0,3,66,48,118,886000,57800,18600,31800,15100,40000,12600,10900,0,0
"486",0,3,66,47,106,61500,11300,13100,7560,8890,92300,44100,15400,0,0
"487",0,3,69,47,-4,397000,234000,43700,26600,21200,44900,63700,29100,0,0
"488",0,3,53,57,114,1550000,76900,12600,21800,9920,7920,14400,14900,0,0
"489",0,3,61,44,34,962000,4730,449,1120,2770,6020,3980,1020,0,0
"490",0,3,38,54,39,204000,162000,49300,58000,10300,46400,25100,27000,0,0
"491",0,3,50,51,43,578000,30600,3470,8740,6000,25300,14200,2790,0,0
"492",0,3,69,50,146,605000,19100,11200,3340,3710,25000,6890,6090,0,0
"493",0,3,60,51,9,638000,58500,7640,4390,5550,20300,27400,12800,0,0
"494",0,3,77,41,28,6270,22500,4060,8450,14300,43200,38500,9860,0,0
"495",0,3,75,29,69,667000,76300,5610,1840,15800,47700,31300,28100,0,0
"496",0,3,69,37,138,261000,3860,6650,3650,8450,5510,9130,2850,0,0
"497",0,3,74,41,55,613000,23400,7510,3590,7650,13000,5040,10200,0,0
"498",0,3,60,48,40,475000,13500,7120,910,4050,5920,25200,4670,0,0
"499",0,3,50,60,70,327000,49300,10700,1350,4710,10300,11700,3100,0,0
"500",0,3,41,56,164,49500,14800,5660,3460,2460,3240,7190,1950,0,0
