"","SubjectID","VideoID","Attention","Mediation","Raw","Delta","Theta","Alpha1","Alpha2","Beta1","Beta2","Gamma1","Gamma2","predefinedlabel","user.definedlabeln"
"6456",5,0,38,53,247,1090000,250000,36200,101000,20700,30500,31000,4640,0,0
"6457",5,0,60,77,24,1790000,185000,25200,71000,38000,66400,20900,3750,0,0
"6458",5,0,56,64,-51,1610000,1020000,99700,77200,53600,58300,13300,10900,0,0
"6459",5,0,53,56,149,1100000,85100,35400,4530,10000,8580,3540,2200,0,0
"6460",5,0,47,44,44,34300,31200,2190,3090,636,1740,1430,255,0,0
"6461",5,0,40,40,19,225000,102000,3220,20500,3490,15900,5290,668,0,0
"6462",5,0,34,53,-55,246000,115000,58900,14900,7040,5030,5460,857,0,0
"6463",5,0,43,54,145,203000,43400,3980,24200,4340,12200,6130,1560,0,0
"6464",5,0,44,64,-75,13300,23100,4120,7840,1550,2080,1420,309,0,0
"6465",5,0,41,69,133,567000,168000,37800,19100,4150,17900,7330,1790,0,0
"6466",5,0,48,70,3,307000,61500,36900,14100,4700,5340,5200,1250,0,0
"6467",5,0,40,60,-82,97900,167000,14500,11100,6450,15400,9620,1170,0,0
"6468",5,0,54,60,136,718000,40400,2440,20600,6200,14400,12700,2260,0,0
"6469",5,0,77,66,125,522000,18700,13000,12500,3780,21000,8310,1130,0,0
"6470",5,0,90,66,-260,275000,50000,49600,5800,6110,16000,7280,1520,0,0
"6471",5,0,78,66,-75,238000,174000,13900,9840,2290,6450,5050,390,0,0
"6472",5,0,78,56,210,765000,387000,36400,44800,10600,111000,51400,3750,0,0
"6473",5,0,57,50,-59,28300,18100,4350,2670,1440,2210,1700,301,0,0
"6474",5,0,56,40,65,123000,22300,354,7250,1000,4030,1880,292,0,0
"6475",5,0,60,44,33,384000,110000,10400,12100,4970,6630,5870,1540,0,0
"6476",5,0,44,48,57,139000,121000,14000,16700,9800,9420,6690,1900,0,0
"6477",5,0,48,51,-25,130000,87300,27700,19300,7090,15200,5080,1470,0,0
"6478",5,0,43,54,-20,214000,275000,40600,81800,13500,32800,12200,6370,0,0
"6479",5,0,48,56,64,45200,37300,8130,2170,742,3460,1470,372,0,0
"6480",5,0,43,61,-86,855000,419000,30100,128000,14600,22200,44400,4430,0,0
"6481",5,0,47,56,65,874000,369000,52600,64900,36700,70700,44800,4240,0,0
"6482",5,0,44,57,525,295000,92700,23400,22300,7290,12000,3680,1880,0,0
"6483",5,0,44,60,-30,449000,84100,3620,25200,9840,7720,5270,1040,0,0
"6484",5,0,54,61,-121,110000,78800,21600,17100,7610,10100,6690,680,0,0
"6485",5,0,48,66,235,631000,88700,20300,26900,6730,12600,8500,1070,0,0
"6486",5,0,54,69,23,2500000,1e+06,547000,364000,165000,287000,108000,14200,0,0
"6487",5,0,64,74,235,745000,271000,69100,94100,20700,74600,34900,3830,0,0
"6488",5,0,66,70,-12,791000,96600,15100,30700,8530,13600,7680,815,0,0
"6489",5,0,69,61,161,142000,358000,20200,47300,45700,47600,42700,2640,0,0
"6490",5,0,74,47,-114,112000,84300,8020,4840,3320,17300,8510,1280,0,0
"6491",5,0,63,37,69,164000,132000,11200,11700,3790,11500,8070,777,0,0
"6492",5,0,63,26,-21,1160000,144000,13700,6850,4580,16400,6020,946,0,0
"6493",5,0,60,30,-7,1800000,385000,64100,63200,13800,46000,52200,5660,0,0
"6494",5,0,47,43,13,138000,66800,10200,19100,3730,5430,6990,377,0,0
"6495",5,0,47,53,131,570000,256000,101000,57900,59300,32000,14700,6530,0,0
"6496",5,0,53,64,35,1500000,263000,62800,57200,30900,66900,25400,6500,0,0
"6497",5,0,60,69,-84,275000,57000,16600,28200,4020,15500,10200,1760,0,0
"6498",5,0,66,70,39,882000,59700,14200,18800,12700,12100,9770,1430,0,0
"6499",5,0,60,57,171,166000,179000,19900,5350,5900,8350,12800,981,0,0
"6500",5,0,54,47,-3,1490000,233000,7910,24400,32200,35900,30600,8960,0,0
"6501",5,0,44,47,-114,302000,53500,23100,18800,16300,6490,9350,2050,0,0
"6502",5,0,41,43,102,264000,94100,14100,19400,11700,11500,6110,740,0,0
"6503",5,0,44,56,118,288000,72100,22800,24100,12100,7480,7340,1290,0,0
"6504",5,0,47,44,-17,130000,148000,1340,4550,3030,22300,8820,610,0,0
"6505",5,0,57,47,-139,95100,5340,3700,3380,4420,2150,1140,151,0,0
"6506",5,0,61,47,136,362000,213000,65000,36600,54400,38400,23200,9700,0,0
"6507",5,0,70,56,92,414000,17300,23100,23000,5450,9950,5230,1810,0,0
"6508",5,0,67,78,-33,399000,95400,18000,13500,2710,13200,12400,1180,0,0
"6509",5,0,69,64,-138,53800,21700,1830,2370,1600,5480,1260,351,0,0
"6510",5,0,70,56,226,108000,85500,3950,9370,5000,14300,14300,571,0,0
"6511",5,0,69,37,105,420000,66900,7790,8630,5440,10900,10200,532,0,0
"6512",5,0,74,29,12,267000,126000,14200,7810,4130,21400,6540,1300,0,0
"6513",5,0,69,44,-115,272000,50200,27000,28000,11100,16000,8040,799,0,0
"6514",5,0,61,50,160,304000,120000,17100,15000,6950,11300,2780,1390,0,0
"6515",5,0,44,43,21,624000,199000,12700,7200,6960,6000,4170,1120,0,0
"6516",5,0,41,51,1,803000,66900,13200,17100,5870,9900,5710,1570,0,0
"6517",5,0,38,30,-149,858000,392000,16400,28300,16100,54600,56600,2210,0,0
"6518",5,0,35,27,214,328000,132000,7670,15400,4830,7820,7050,1010,0,0
"6519",5,0,53,40,-33,741000,168000,43300,40900,47700,32900,52600,8020,0,0
"6520",5,0,51,38,21,126000,89500,6010,23500,6720,11400,9790,480,0,0
"6521",5,0,56,54,-10,922000,162000,76800,66800,44400,57600,30500,1260,0,0
"6522",5,0,70,63,163,334000,278000,81300,49400,26600,74000,37800,2780,0,0
"6523",5,0,63,64,-76,4860,20500,6720,3150,2460,1920,1650,155,0,0
"6524",5,0,57,57,82,30100,49600,3520,4730,1240,3730,2950,402,0,0
"6525",5,0,61,56,13,121000,38000,19400,8770,5970,18000,8130,860,0,0
"6526",5,0,54,47,52,112000,128000,3510,16600,4070,17700,9230,1010,0,0
"6527",5,0,54,48,-44,531000,431000,162000,57200,17800,33500,26200,2180,0,0
"6528",5,0,53,50,181,63900,51700,4240,5470,1270,3330,1110,285,0,0
"6529",5,0,44,47,42,799000,121000,22100,25100,4610,21100,7680,818,0,0
"6530",5,0,51,50,54,112000,97300,5150,16200,8480,24800,6750,1820,0,0
"6531",5,0,63,51,-35,335000,66200,45300,12600,11000,21200,9790,1140,0,0
"6532",5,0,57,51,182,141000,216000,29300,12200,13200,9000,5720,1100,0,0
"6533",5,0,54,48,26,282000,83400,3000,18900,1460,9650,7410,851,0,0
"6534",5,0,50,54,54,1280000,204000,42200,61300,56300,42500,9830,3560,0,0
"6535",5,0,34,48,-54,365000,199000,40300,19800,12300,9640,4220,1690,0,0
"6536",5,0,38,35,145,172000,206000,6740,3500,5690,11500,7190,946,0,0
"6537",5,0,44,44,-18,302000,41300,22100,14100,2290,12800,6120,1400,0,0
"6538",5,0,44,40,25,97700,119000,23000,5380,4660,21700,8340,1580,0,0
"6539",5,0,61,44,-81,13200,14000,880,7340,1910,3340,821,351,0,0
"6540",5,0,69,63,84,2700000,310000,24200,82400,23000,45500,18100,4780,0,0
"6541",5,0,63,60,-69,572000,66000,16700,21700,3660,8600,4770,957,0,0
"6542",5,0,57,51,176,354000,385000,15400,17400,53900,34700,15700,6750,0,0
"6543",5,0,50,48,-34,21100,18400,2220,5160,1040,1830,2400,207,0,0
"6544",5,0,38,41,17,1800000,569000,6640,95300,13200,28800,35800,5340,0,0
"6545",5,0,24,37,-71,1280000,1180000,276000,96800,25800,37100,28900,1920,0,0
"6546",5,0,23,48,220,94400,119000,18700,13700,7240,11400,6080,779,0,0
