,SubjectID,VideoID,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,predefinedlabel,user.definedlabeln
1,0,0,56,43,278,302000,90600,33700,24000,27900,45100,33200,8290,0,0
2,0,0,40,35,-50,73800,28100,1440,2240,2750,3690,5290,2740,0,0
3,0,0,47,48,101,758000,384000,202000,62100,36300,131000,57200,25400,0,0
4,0,0,47,57,-5,2010000,129000,61200,17100,11500,62500,50000,33900,0,0
5,0,0,44,53,-8,1010000,354000,37100,88900,45300,99600,44800,29700,0,0
6,0,0,44,66,73,1790000,177000,59400,26200,15100,33700,33800,31800,0,0
7,0,0,43,69,130,635000,122000,90100,65100,36200,53000,62900,59300,0,0
8,0,0,40,61,-2,161000,12100,1960,809,1280,3190,3270,2520,0,0
9,0,0,43,69,17,493000,121000,63700,68200,10800,88400,73800,22700,0,0
10,0,0,47,69,-59,82000,116000,47300,26200,41600,28900,32600,41800,0,0
11,0,0,48,38,-14,757000,186000,3240,3840,18900,43000,46800,11900,0,0
12,0,0,44,48,72,668000,142000,75100,16200,45900,34500,74900,31800,0,0
13,0,0,47,34,121,165000,42100,3160,6260,7270,19500,11000,8150,0,0
14,0,0,48,30,-52,738000,84300,2240,38700,21700,28300,80900,24700,0,0
15,0,0,47,48,69,577000,180000,25900,21600,43800,44400,69200,25600,0,0
16,0,0,57,43,44,235000,80900,7990,32600,11800,63700,41000,18100,0,0
17,0,0,57,40,144,671000,133000,7140,14300,23400,65600,47900,16500,0,0
18,0,0,70,40,25,33300,14700,11000,10400,14300,37100,60400,36300,0,0
19,0,0,74,44,-138,1030000,268000,67300,37000,10100,80800,90400,26300,0,0
20,0,0,67,53,25,756000,97400,59800,32200,16100,53200,44600,14300,0,0
21,0,0,70,66,124,87100,7200,4990,2820,2130,11400,9420,4920,0,0
22,0,0,57,53,43,803000,83900,3230,7900,27100,17800,18900,12200,0,0
23,0,0,53,51,35,158000,284000,27300,47900,15100,38200,31600,10100,0,0
24,0,0,41,50,119,613000,758000,246000,132000,26600,83800,94500,56100,0,0
25,0,0,27,37,37,603000,47300,3220,2810,1860,7210,7880,1520,0,0
26,0,0,29,50,102,235000,183000,54000,31300,19600,67100,29400,21400,0,0
27,0,0,30,35,24,188000,145000,3550,5540,16400,22400,14700,7340,0,0
28,0,0,37,21,-51,633000,162000,12700,3990,5850,23000,22600,9850,0,0
29,0,0,30,41,61,478000,264000,218000,76400,22200,38900,67000,42600,0,0
30,0,0,26,43,290,731000,69100,23300,9020,4770,12900,18200,2110,0,0
31,0,0,20,56,-21,1100000,673000,74700,93200,67000,50200,88400,31000,0,0
32,0,0,20,67,4,1970000,185000,41200,21800,7830,35500,22200,23900,0,0
33,0,0,35,48,-156,1360000,316000,61600,18500,187000,171000,60100,18900,0,0
34,0,0,48,48,-22,638000,30400,21500,10000,12900,52800,20600,17700,0,0
35,0,0,63,51,3,423000,128000,70300,5490,22900,70900,22700,7380,0,0
36,0,0,61,53,0,585000,238000,71600,47300,58800,37600,50000,27400,0,0
37,0,0,54,67,186,1100000,83600,68900,12200,44400,32000,86900,33400,0,0
38,0,0,51,50,40,480000,207000,11700,5010,7890,122000,47900,6960,0,0
39,0,0,57,50,88,48400,6380,2890,4670,4020,10400,9810,2280,0,0
40,0,0,69,56,26,9310,15200,17900,17600,11700,24900,12300,22100,0,0
41,0,0,80,54,-7,253000,41800,23600,19000,15400,52100,28600,10400,0,0
42,0,0,67,51,91,195000,65600,512,2610,6600,9150,12100,6340,0,0
43,0,0,69,47,80,18400,26300,2160,15900,24300,45200,16400,13800,0,0
44,0,0,77,34,39,11700,35300,6060,12500,24200,54600,21400,9910,0,0
45,0,0,66,43,10,233000,30700,43700,32000,14300,19800,25900,9470,0,0
46,0,0,70,63,103,151000,14900,3800,3330,2290,4460,7050,1670,0,0
47,0,0,74,69,74,18800,6580,11000,5620,7640,30800,13700,9250,0,0
48,0,0,69,80,24,342000,33000,30800,16100,5030,51800,30500,13200,0,0
49,0,0,90,63,53,8590,4720,3320,8460,15900,38600,7070,7280,0,0
50,0,0,90,60,87,257000,94400,9800,20200,21700,26800,32700,10300,0,0
