"","SubjectID","VideoID","Attention","Mediation","Raw","Delta","Theta","Alpha1","Alpha2","Beta1","Beta2","Gamma1","Gamma2","predefinedlabel","user.definedlabeln"
"285",0,2,44,69,-1,119000,35800,3850,44400,12700,39700,28900,65500,0,1
"286",0,2,47,63,100,61500,18000,4550,1020,1730,6010,5460,1460,0,1
"287",0,2,43,64,55,1140000,402000,46200,76000,7970,45700,38200,25100,0,1
"288",0,2,54,43,90,236000,103000,1460,5740,11500,45900,17200,5420,0,1
"289",0,2,43,34,-35,2850000,398000,52400,37000,14000,58600,18200,23600,0,1
"290",0,2,35,38,-137,186000,78200,14800,19100,7360,8730,17300,2240,0,1
"291",0,2,50,48,-41,2040000,25800,30800,57300,15700,61400,45400,16400,0,1
"292",0,2,38,63,-9,710000,64000,10100,6290,2590,9080,7110,3120,0,1
"293",0,2,44,77,-25,169000,54400,60900,9490,10000,33000,41100,26700,0,1
"294",0,2,51,61,-102,1990000,284000,19600,10000,26000,53000,79600,27500,0,1
"295",0,2,41,54,37,904000,152000,49400,27500,24200,36200,25900,33100,0,1
"296",0,2,54,53,99,247000,8310,548,2580,1210,6680,3120,694,0,1
"297",0,2,53,41,-94,1010000,199000,56900,6000,70100,54200,50300,14900,0,1
"298",0,2,56,66,80,824000,56700,84800,81800,24700,55900,109000,11100,0,1
"299",0,2,57,61,93,465000,310000,55800,27700,28600,71200,59600,22100,0,1
"300",0,2,57,67,-35,134000,5860,2640,4600,2230,7800,3010,1960,0,1
"301",0,2,54,63,36,868000,55300,6410,2650,5410,10700,12000,4560,0,1
"302",0,2,51,47,-50,930000,196000,21400,27400,23100,42400,57800,23300,0,1
"303",0,2,40,35,36,1150000,784000,19800,28400,11700,43900,35900,12000,0,1
"304",0,2,35,26,23,127000,45900,9660,5090,5380,23200,14600,3550,0,1
"305",0,2,37,23,53,275000,89100,5430,4020,5090,19300,13100,10600,0,1
"306",0,2,43,26,-39,2980000,159000,13200,69700,83800,97300,42000,24100,0,1
"307",0,2,64,43,-18,452000,23300,24600,5740,21600,40000,27600,20500,0,1
"308",0,2,56,53,12,495000,28800,10600,15400,5390,7450,7100,6160,0,1
"309",0,2,63,74,-183,339000,13900,23600,33800,21100,32400,30000,19800,0,1
"310",0,2,53,69,86,486000,109000,13800,7220,11200,13700,20900,6630,0,1
"311",0,2,38,61,16,550000,106000,11900,12500,16800,15600,3740,3070,0,1
"312",0,2,41,56,145,251000,48700,18700,6850,8450,14600,11500,2890,0,1
"313",0,2,27,56,-45,614000,138000,75500,56100,18700,30000,43100,24800,0,1
"314",0,2,35,61,-83,204000,174000,32700,30500,20300,54900,49700,14400,0,1
"315",0,2,44,64,92,908000,40400,9690,11100,18200,22400,41000,15000,0,1
"316",0,2,43,69,-257,336000,29000,16600,11400,8150,8790,20000,7200,0,1
"317",0,2,48,56,-58,719000,136000,22800,13200,57700,34300,53800,11800,0,1
"318",0,2,44,51,35,518000,191000,30900,12300,40900,31500,40800,16200,0,1
"319",0,2,35,56,-73,302000,122000,37900,31600,31200,19800,20700,8260,0,1
"320",0,2,41,53,-259,399000,32600,22500,18100,33800,27400,64300,11900,0,1
"321",0,2,41,51,71,1130000,56200,7020,4750,2520,16100,10100,3210,0,1
"322",0,2,60,56,23,33800,17000,14100,16400,37800,53100,35900,20000,0,1
"323",0,2,56,51,-27,508000,269000,37300,29000,18600,26600,59600,20200,0,1
"324",0,2,43,35,54,892000,416000,3480,32800,37000,31700,55900,37100,0,1
"325",0,2,47,37,-52,206000,136000,21900,11600,21200,62300,28100,7050,0,1
"326",0,2,54,30,109,68600,4260,5970,1640,7030,33900,7150,4150,0,1
"327",0,2,69,27,-5,196000,49900,3550,11500,15700,27500,23700,11000,0,1
"328",0,2,78,37,20,1210000,98900,5630,22200,38200,25200,32300,20800,0,1
"329",0,2,88,44,60,860000,17000,5840,41500,14300,98500,64500,7960,0,1
"330",0,2,61,40,99,586000,134000,13200,4980,18800,15600,7870,4890,0,1
"331",0,2,43,41,-73,197000,107000,16200,4840,5380,6240,14100,3830,0,1
"332",0,2,37,43,180,532000,215000,29700,34200,26800,27300,34800,23200,0,1
"333",0,2,16,40,-18,2070000,249000,21100,66100,33600,47600,44200,23000,0,1
"334",0,2,26,54,54,1090000,133000,53600,48800,22600,65900,48600,16300,0,1
"335",0,2,37,64,17,1650000,82800,49700,22500,30400,26700,28700,22500,0,1
"336",0,2,44,57,-39,356000,102000,12700,4500,21500,27200,55400,21900,0,1
"337",0,2,50,47,37,265000,53500,3670,1610,4430,14700,6480,3520,0,1
"338",0,2,51,44,-5,277000,53900,24700,18700,24400,33400,58600,10900,0,1
"339",0,2,54,53,-43,37200,24700,43800,52700,15300,32100,40400,8640,0,1
"340",0,2,54,54,23,198000,82200,2870,13700,23000,20700,65200,18900,0,1
"341",0,2,64,69,28,36700,20600,19400,12400,25000,45100,46000,10900,0,1
"342",0,2,77,56,-59,2050000,31200,2410,8050,16300,61700,52700,16000,0,1
"343",0,2,60,43,-25,297000,116000,37900,2220,5810,6250,8410,3770,0,1
"344",0,2,70,40,22,917000,68100,11800,4360,23600,67600,39000,21800,0,1
"345",0,2,43,17,-42,483000,961000,14300,20500,35200,30500,19700,7400,0,1
"346",0,2,29,27,86,442000,236000,54400,57200,28400,108000,122000,23100,0,1
"347",0,2,51,16,-50,876000,239000,36800,3420,72100,136000,164000,45200,0,1
"348",0,2,37,23,-237,598000,167000,34600,7740,18600,30400,46300,13200,0,1
"349",0,2,50,47,-86,728000,94300,37400,13200,14200,20300,38100,6170,0,1
"350",0,2,37,26,-34,427000,272000,5890,5860,11300,16500,35700,14400,0,1
"351",0,2,24,30,-3,264000,139000,21700,3420,7550,24100,13800,15600,0,1
"352",0,2,35,38,-33,673000,48900,18300,20400,7670,35300,23600,14700,0,1
"353",0,2,27,26,75,1210000,296000,28900,9080,12600,20900,14300,8310,0,1
