"","SubjectID","VideoID","Attention","Mediation","Raw","Delta","Theta","Alpha1","Alpha2","Beta1","Beta2","Gamma1","Gamma2","predefinedlabel","user.definedlabeln"
"7718",6,0,0,0,-2050,493000,58600,48200,22100,18000,28300,18900,8860,0,1
"7719",6,0,0,0,-301,4e+05,116000,13400,16600,22800,10500,15800,4780,0,1
"7720",6,0,0,0,1780,3040000,2420000,77800,393000,217000,663000,198000,284000,0,1
"7721",6,0,0,0,2050,928000,507000,173000,267000,76300,105000,67200,81000,0,1
"7722",6,0,0,0,-2050,1020000,323000,190000,184000,125000,94300,73500,44500,0,1
"7723",6,0,0,0,-385,50800,5690,1030,4050,6950,7020,4100,3780,0,1
"7724",6,0,0,0,1800,692000,121000,94300,345000,97400,145000,39900,93200,0,1
"7725",6,0,0,0,1380,527000,478000,43100,215000,52600,106000,180000,56300,0,1
"7726",6,0,0,0,-43,90300,14600,340,1540,6670,2190,2640,3330,0,1
"7727",6,0,0,0,1660,1060000,641000,145000,57400,77800,85600,106000,84500,0,1
"7728",6,0,0,0,1470,1020000,392000,97000,73400,31400,134000,72200,93900,0,1
"7729",6,0,0,0,-2050,674000,301000,109000,147000,24800,43500,48600,113000,0,1
"7730",6,0,0,0,677,257000,268000,2780,17500,32200,5750,10600,11900,0,1
"7731",6,0,0,0,1600,920000,823000,25100,127000,63500,122000,69300,41600,0,1
"7732",6,0,0,0,1290,455000,291000,99700,144000,25000,94100,78500,72600,0,1
"7733",6,0,0,0,-2040,255000,522000,163000,126000,71700,199000,80100,39700,0,1
"7734",6,0,0,0,422,258000,345000,3840,15200,32000,19200,8930,7840,0,1
"7735",6,0,0,0,241,1610000,138000,137000,25300,63800,55500,55100,53600,0,1
"7736",6,0,0,0,1960,812000,416000,197000,265000,72300,47400,42000,73900,0,1
"7737",6,0,0,0,-1770,385000,352000,173000,190000,154000,65100,98200,57600,0,1
"7738",6,0,0,0,758,716000,113000,68800,65600,67400,60900,93900,52700,0,1
"7739",6,0,0,0,1160,1880000,1140000,1090000,690000,279000,487000,554000,428000,0,1
"7740",6,0,0,0,315,1030000,1110000,148000,527000,36600,728000,177000,341000,0,1
"7741",6,0,0,0,-1740,2110000,1510000,909000,538000,426000,344000,295000,236000,0,1
"7742",6,0,0,0,435,426000,2e+05,26500,17300,14600,10300,10200,5890,0,1
"7743",6,0,0,0,1160,226000,280000,198000,65300,84500,104000,67000,71300,0,1
"7744",6,0,0,0,279,914000,1120000,384000,498000,242000,181000,191000,275000,0,1
"7745",6,0,0,0,-1800,810000,491000,121000,92600,60700,81700,57600,75500,0,1
"7746",6,0,0,0,438,612000,104000,4630,34900,16000,28800,13500,26600,0,1
"7747",6,0,0,0,1280,559000,246000,89200,124000,111000,115000,81400,53200,0,1
"7748",6,0,0,0,2050,1670000,431000,134000,83700,143000,80000,49600,91000,0,1
"7749",6,0,0,0,-2050,605000,77900,23300,12000,15300,8880,16400,23800,0,1
"7750",6,0,0,0,-1640,71900,81000,2990,4950,8490,7390,6160,2460,0,1
"7751",6,0,0,0,2050,1870000,738000,41500,189000,120000,70100,58200,78000,0,1
"7752",6,0,0,0,2050,1580000,265000,96000,65000,65600,64100,145000,127000,0,1
"7753",6,0,0,0,-2050,581000,103000,12400,21500,11400,10300,17700,37500,0,1
"7754",6,0,0,0,711,24700,1e+05,3440,8530,13100,7000,3560,2360,0,1
"7755",6,0,0,0,2050,674000,211000,99000,126000,79600,116000,89800,58800,0,1
"7756",6,0,0,0,-1660,84400,31800,69500,6170,13000,10200,14700,17800,0,1
"7757",6,0,0,0,-1860,1220000,514000,581000,541000,1070000,508000,608000,298000,0,1
"7758",6,0,0,0,1370,1780000,368000,84400,119000,73700,124000,89900,42300,0,1
"7759",6,0,0,0,696,6e+05,99600,180000,47200,187000,163000,124000,82400,0,1
"7760",6,0,0,0,-657,342000,807000,696000,855000,384000,189000,230000,213000,0,1
"7761",6,0,0,0,-619,2190000,361000,156000,271000,169000,471000,187000,502000,0,1
"7762",6,0,0,0,884,93500,20800,2750,3050,1930,8350,2290,1030,0,1
"7763",6,0,0,0,1010,160000,66400,22700,34500,71400,40700,24600,17200,0,1
"7764",6,0,0,0,-53,553000,541000,75600,149000,45300,59300,77300,11500,0,1
"7765",6,0,0,0,-1240,529000,314000,64000,62900,47100,116000,116000,78700,0,1
"7766",6,0,0,0,715,515000,193000,326,27000,17000,17800,13900,6680,0,1
"7767",6,0,0,0,932,335000,219000,198000,51200,105000,178000,63600,115000,0,1
"7768",6,0,0,0,200,1280000,173000,63800,112000,56500,71500,36600,51700,0,1
"7769",6,0,0,0,-1190,98100,107000,6870,38400,12700,18400,8050,10200,0,1
"7770",6,0,0,0,643,2570000,691000,271000,110000,70400,67800,36800,36900,0,1
"7771",6,0,0,0,786,618000,555000,359000,160000,181000,119000,66200,107000,0,1
"7772",6,0,0,0,2050,707000,1230000,413000,364000,402000,387000,289000,385000,0,1
"7773",6,0,0,0,-1900,951000,444000,131000,217000,83900,168000,42300,68400,0,1
"7774",6,0,0,0,-1680,20300,72200,1740,3320,9360,7120,4590,2040,0,1
"7775",6,0,0,0,1880,844000,742000,89100,153000,77900,157000,70800,73300,0,1
"7776",6,0,0,0,1940,548000,521000,102000,156000,111000,90200,67100,117000,0,1
"7777",6,0,0,0,-525,693000,339000,20300,158000,33000,111000,40800,116000,0,1
"7778",6,0,0,0,-1840,43800,27000,4760,3050,5700,8790,2540,2220,0,1
"7779",6,0,0,0,962,839000,919000,208000,40500,89400,126000,254000,105000,0,1
"7780",6,0,0,0,1660,208000,2e+05,63100,187000,118000,150000,127000,177000,0,1
"7781",6,0,0,0,-284,2010000,570000,120000,234000,318000,185000,109000,75400,0,1
